Rank,Title,Status,Study Results,Conditions,Interventions,Outcome Measures,Last Update Posted,URL
90,Effect of Ginkgo Biloba Special Extract LI 1370 on Dual-tasking in Patients With MCI,Completed,No Results Available,Mild Cognitive Impairment,Drug: Ginkgo biloba,gait speed|cycle time variability,14-Oct-15,https://ClinicalTrials.gov/show/NCT01046292
91,Memantine Plus Es-citalopram in Elderly Depressed Patients With Cognitive Impairment,Completed,Has Results,Mild Cognitive Impairment|Major Depressive Disorder|Alzheimer's Disease,Drug: es-citalopram|Drug: Memantine,Change in Selective Reminding Test - Total Immediate Recall (SRT-IR)|Change in Wechsler Memory Scale-III (WMS-III)|Change in Selective Reminding Test - Delayed Recall (SRT-DR)|Change in Trails B|Change in Trails A,24-Oct-14,https://ClinicalTrials.gov/show/NCT01876823
92,e-CHAMP: Enhancing Care for Hospitalized Older Adults With Memory Problems,Completed,No Results Available,Cognitive Impairment|Delirium,Behavioral: e-CHAMP (Enhancing Care for Hospitalized Older Adults with Cognitive Impairment)|Behavioral: Standard Care,"Use of potentially inappropriate medications, urinary catheter or physical restraints, and length of time in initiating a referral order, as recorded in the electronic medical record|Total number of hospital acquired complications recorded in the medical record that may be related to cognitive impairment (CI)|Length and cost of hospital stay from discharge records and billing system",13-Apr-16,https://ClinicalTrials.gov/show/NCT00182832
93,Effects of Multimodal Cognitive Enhancement Therapy (MCET) for Ealy Dementia,Completed,No Results Available,"Mild Cognitive Impairment|Dementia, Mild",Other: Period I MCET (8 wks)|Other: Washout (4 wks)|Other: Period II MCET (8 wks),Change in the Mini-Mental State Examination for dementia screening before and after period I and before and after period II intervention (crossover part of the study)|Change in the Korean version of Alzheimer's Disease Assessment Scale -cognitive subscale of Korean version (ADAS-KCog) before and after period I and before and after period II intervention (crossover part of the study)|Change in the Disability Assessment for Dementia (DAD-K) before and after period I and before and after period II intervention (crossover part of the study)|Change in the Revised Memory and Behavior Problems Checklist (RMBPC) before and after period I and before and after period II intervention (crossover part of the study)|Change in the Quality of Life-AD (QoL-AD) of patients before and after period I and before and after period II intervention (crossover part of the study)|Change in the Quality of Life-AD (QoL-AD) of caregivers before and after period I and before and after period II intervention (crossover part of the study),28-Jul-15,https://ClinicalTrials.gov/show/NCT02350738
94,The Aerobic & Cognitive Exercise Study,Completed,No Results Available,Mild Cognitive Impairment|Healthy,Behavioral: Cybercycle-Game|Behavioral: Cybercyle-Tour|Behavioral: Game Only,Change from baseline in executive function at 6-months|Change in weight|Change in mood|Change from baseline in executive function at 3-months|Change from baseline in executive function at 1-year follow-up,03-May-18,https://ClinicalTrials.gov/show/NCT02237560
95,EXCEL: Exercise for Cognition and Everyday Living for Seniors With Memory Complaints,Completed,No Results Available,Mild Cognitive Impairment,Behavioral: Exercise program (AT)|Behavioral: Exercise training (RT)|Behavioral: Exercise training (S & R; control),"Cognitive performance after 3 and 6 months of training|Everyday problem-solving ability after 3 and 6 months of exercise training, brain function after 6 months of training and physical function after 3 and 6 months of training",04-Oct-17,https://ClinicalTrials.gov/show/NCT00958867
96,The Use of Duloxetine for Cognition Improvement in Individuals With Mild Cognitive Impairment,Completed,No Results Available,Mild Cognitive Impairment|Depression,Drug: Duloxetine|Drug: Placebo,Change in scores for the Repeatable Battery for Neuropsychological Status (RBANS) from baseline to 16 weeks.|Evaluation of the relative dominance of the verbal-reading system from baseline at 16 weeks through the Stroop Color and Word Test,19-Feb-18,https://ClinicalTrials.gov/show/NCT02590874
97,"Piedmont Aging, Cognition & Exercise Study-2",Completed,No Results Available,Mild Cognitive Impairment|Prediabetes,Behavioral: Exercise/Aerobic|Behavioral: Exercise/Stretching,Change in cognitive performance from baseline following 6 month of high or low intensity exercise regimen|Change from baseline in blood sugar concentration and cerebrospinal fluid glucose measures during an oral glucose tolerance test following 6 months of high or low intensity exercise,07-Nov-17,https://ClinicalTrials.gov/show/NCT02312843
98,Energy Metabolism and Cognitive Aging,Completed,No Results Available,Mild Cognitive Impairment,Other: Ketogenic diet|Other: Healthy high carbohydrate diet,"improvement in memory testing|correlation between diet, metabolic factors, memory performance, and cerebral activation",24-Mar-17,https://ClinicalTrials.gov/show/NCT00777010
99,Combination Treatment Study for Memory Impairment and Depression,Completed,Has Results,Depression|Mild Cognitive Impairment,Drug: Donepezil|Drug: Placebo|Drug: Citalopram|Drug: Venlafaxine,Selective Reminding Test (SRT) Total Recall|Selective Reminding Test (SRT) Delayed Recall|Alzheimer's Disease Assessment Scale - Cognitive (ADAS-Cog),17-Oct-17,https://ClinicalTrials.gov/show/NCT01658228
100,The Effect of Daily Consumption of Eggs on Cognitive Function in the Elderly,Completed,No Results Available,Mild Cognitive Impairment,Other: eggs or egg whites,cognition|inflammation,01-Sep-17,https://ClinicalTrials.gov/show/NCT01621646
101,Preliminary Study of Fish Oil and Dementia,Completed,No Results Available,Alzheimer's Disease|Mild Cognitive Impairment,Dietary Supplement: omega-3 polyunsaturated fatty acids ( EPA+DHA),the Clinician's Interview-Based Impression of Change Scale (CIBIC-plus)|the cognitive portion of the Alzheimer's Disease Assessment Scale (ADAS-cog)|Mini Mental Status Examination (MMSE) scores|17-item Hamilton Depression Scale (HDRS)|adverse events,04-Mar-08,https://ClinicalTrials.gov/show/NCT00628017
102,Involving Family to Improve Communication in Primary Care,Completed,No Results Available,Cognitive Impairment,Other: Pre-visit patient-family agenda-setting checklist|Other: Usual care,Patient-centered communication|Visit duration|Patient and companion verbal activity|Subjective rating of visit communication|Discussion of patient memory,15-Feb-18,https://ClinicalTrials.gov/show/NCT02986958
103,Cognitive Remediation for HIV-associated Neurocognitive Dysfunction,Completed,No Results Available,HIV-associated Neurocognitive Dysfunction,Other: Computerized plasticity-based adaptive cognitive training,Computerized Exercise-based Assessment,23-Nov-16,https://ClinicalTrials.gov/show/NCT02671526
104,An Investigation of Chemotherapy Induced Cognitive Impairments in Breast Cancer Survivors,Completed,No Results Available,Breast Cancer,Other: Brain Fitness Program (BFP),Change in Wechsler Test of Adult Reading (WTAR)|Change in Processing Speed (PS)|Change in Executive Functions|Change in Working Memory and Attention|Change in Visual and Verbal Memory|Change in Depression|Change in Anxiety|Change in Frontal Systems Behavior Scale (FRSBE)|Change in Cognitive Self-Report Questionnaire (CSRQ)|Change in Functional Assessment of Cancer Therapy-Cognitive Scale (FACT-Cog)|Change in Functional Assessment of Cancer Therapy - Fatigue scale (FACIT-F),06-Feb-18,https://ClinicalTrials.gov/show/NCT02515487
105,Pharmacokinetics and Pharmacodynamics (PK/PD) of CEP-26401 in Healthy Subjects,Completed,No Results Available,Cognitive Impairment,Drug: CEP-26401|Drug: donepezil hydrochloride|Drug: modafinil|Drug: Placebo,Paired Associate Learning (PAL) Test|Rapid Visual Information Processing (RVIP) Test|Spatial Working Memory Test|Stop Signal Task (SST)|Adaptive tracking Test|Body sway Test|Leeds Sleep Evaluation Questionnaire (LSEQ)|Leiden Maze Test (LMT)|n-Back Working Memory Test|Polysomnography (PSG) Test|Saccadic Eye Movements|Single-Choice Reaction Time|Smooth Pursuit Eye Movements|Visual Analog Scales (VAS)|area under the drug concentration-time curve (AUC0-t)|maximal observed plasma drug concentration (Cmax)|time to maximum observed plasma drug concentration (tmax)|Summary of participants with Adverse Events,03-Apr-14,https://ClinicalTrials.gov/show/NCT01903824
106,Observational Study of Cognitive Outcomes for Subjects Who Have Had Prior PET Amyloid Imaging With Florbetapir F 18 (18F-AV-45),Completed,Has Results,Alzheimer's Disease|Mild Cognitive Impairment,Drug: florbetapir F 18,Change in ADAS-Cog for MCI Subjects|Cognitive Decline in MCI Subjects|Change in ADAS-Cog in CN and AD Subjects|Cognitive Decline in CN and AD Subjects|Covariate Adjusted Psychometric Score Change|Correlation of Change in ADAS-Cog and SUVR,28-Mar-13,https://ClinicalTrials.gov/show/NCT00857506
107,Does Zumba Improve Cognition in Healthy APOE e4 Carriers and Noncarriers,Completed,No Results Available,Cognitive Impairment,Other: Zumba exercise,"To examine the feasibility of doing exercise intervention studies in presymptomatic, at risk individuals and determine the optimal outcome measure with minimal practice effect.|To examine whether forty 60 minute sessions of Zumba are associated with cognitive changes in healthy women between 55 and 80 years of age.",03-May-12,https://ClinicalTrials.gov/show/NCT01012791
108,Cognitive Screening and Cognitive Training in Seniors,Completed,No Results Available,Mild Cognitive Impairment,Behavioral: Strategic Memory Advanced Reasoning Training|Behavioral: Brain Health Workshop,Improvement in memory or thinking after brain training|Measures changes in brain wave activity,07-Dec-17,https://ClinicalTrials.gov/show/NCT02588209
109,Cognitive Ability Training in Seniors,Completed,No Results Available,Mild Cognitive Impairment,Device: Verum tDCS|Device: Sham tDCS,Neuropsychological performance in neuropsychological tests|Brain activation measured with NIRS,10-Apr-18,https://ClinicalTrials.gov/show/NCT02587338
110,The Mental Activity and eXercise Trial for Seniors,Completed,No Results Available,Cognitive Impairment,Behavioral: Group 1|Behavioral: Group 2|Behavioral: Group 3|Behavioral: Group 4,"Change in cognitive function summary score|Visual processing speed summary score (mental activity group), executive function summary score (exercise group), other measures (e.g., leisure activity, physical performance, physical function, depressive symptoms, sleep quality)",09-Apr-12,https://ClinicalTrials.gov/show/NCT00522899
111,Dual Task Training in Elderly Using the BioRescue,Completed,No Results Available,Mild Cognitive Impairment,Other: Biorescue training,"Static balance|Dynamic Balance|instrumented timed Up-and-Go test while dual-tasking|""stops walking while talking"" test|fall incidence|cognitive function",14-Jun-16,https://ClinicalTrials.gov/show/NCT02681354
112,Enhanced External Counterpulsation and Its Effects on Vascular Hemodynamics in Cognitively Impaired Patients,Completed,No Results Available,Mild Cognitive Impairment,Device: External Counterpulsation (EECP),Change in Cognitive Function|Change in Ophthalmic blood flow (OBF)|Change in Blood Viscosity|Cholesterol composition of the blood,13-Jan-16,https://ClinicalTrials.gov/show/NCT01659398
113,Oral Health Intervention Pilot Study for Individuals With Memory Problems,Completed,No Results Available,Mild Cognitive Impairment,Behavioral: Oral Health Intervention,Change in oral health|Changes in subjects' self-efficacy,30-Mar-17,https://ClinicalTrials.gov/show/NCT01808235
114,"A Randomized, Double-blind, Placebo-controlled Study to Assess Safety, Tolerability, Pharmacokinetics, Immunogenicity, and Pharmacodynamic Response of Repeated Intravenous Infusions of BAN2401 in Subjects With Mild Cognitive Impairment Due to Alzheimer's Disease and Mild Alzheimer's Disease",Completed,No Results Available,Alzheimer's Disease,Drug: BAN2401 2.5 mg/kg|Drug: BAN2401 5 mg/kg|Drug: BAN2401 10 mg/kg|Drug: Placebo,"Number of Participants with Adverse Events as a Measure of Safety and Tolerability|Pharmacokinetics of BAN2401: Maximum Concentration (Cmax)|Pharmacokinetics of BAN2401: time attain to Cmax (tmax)|Pharmacokinetics of BAN2401: Area under the curve (AUC)|Pharmacokinetics of BAN2401: Drug Clearance (CL)|Pharmacokinetics of BAN2401: apparent volume of distribution at steady state (Vss)|Investigation of the effect of repeated intravenous infusions of BAN2401 on the immunogenicity and CSF biomarkers|Investigation of the effect of apolipoprotein allele4 (ApoE4) on the safety, tolerability and pharmacodynamic (PD) response of repeated intravenous infusions of BAN2401",08-Jun-15,https://ClinicalTrials.gov/show/NCT02094729
115,Retaining Cognition While Avoiding Late-Life Depression,Completed,No Results Available,Mild Cognitive Impairment,Behavioral: Problem Solving Therapy|Behavioral: Problem Solving Therapy + Exercise|Other: Enhanced Usual Care,Incidence of depression or anxiety disorders|Change in cognitive function measured by RBANS and DKEFS,14-Nov-17,https://ClinicalTrials.gov/show/NCT01886586
116,Effects of Cognitive Intervention for Older Adults With Memory Decline: A Pilot Study,Completed,No Results Available,Mild Cognitive Impairment,"Behavioral: MEMO programme (Inst Universitaire de Geriatrie, Montreal)|Behavioral: External memory aids training",Rey Auditory Verbal Learning Test|Wechsler Memory Scale - Logical Memory|Face-name associations test|Multifactorial Memory Questionnaire - Ability subscale|Rivermead Behavioural Memory Test|FAS test (non-memory)|Category fluency (non-memory test)|Victoria Stroop Test (non-memory test)|Digit Span (non-memory test)|Multifactorial Memory Questionnaire - Strategies and Contentment subscales,02-Jun-10,https://ClinicalTrials.gov/show/NCT00609427
117,18-Month Study of Memory Effects of Curcumin,Completed,Has Results,Age-associated Cognitive Impairment|Mild Cognitive Impairment (MCI),Drug: Curcumin|Other: Placebo,"Change From Baseline to 18 Months on Brief Visual Memory Test-Revised, Recall|Change From Baseline to 18 Months on Brief Visual Memory Test-Revised, Delay|Change From Baseline on Buschke Selective Reminding Task, Consistent Long-Term Retrieval|Change From Baseline on Buschke Selective Reminding Task, Total Score|Change From Baseline to 18 Months on Trail Making Test, Part A|Change From Baseline to 18 Months on Beck Depression Inventory (BDI)",19-Mar-18,https://ClinicalTrials.gov/show/NCT01383161
118,A Randomized Controlled Pharmacist Intervention Study to Reduce Drug-related Problems and Readmissions Among Old People With Dementia,Completed,No Results Available,Cognitive Impairment,Other: Medication review,Frequency of drug related readmissions|Cost for visits for readmissions and to the Emergency Department compared between patients in the control group and intervention group.|Time until institutionalization after discharge compared between control group and intervention group.|Frequency of hospital visits (readmissions and emergency department) during the 6-month follow-up.|Time from discharge to readmission|Adherence to the quality indicators published by the Swedish National Board of Health and Welfare,02-Dec-15,https://ClinicalTrials.gov/show/NCT01504672
119,Effect of Exercises Training in Patients With Mild Cognitive Impairment and Early Alzheimer's Disease,Completed,No Results Available,Alzheimer's Disease,Other: Aerobic exercises|Other: Stretch exercise,Changes of Memory and executive function related neuropsychological test|Changes of muscle strength of upper and lower extremity and walking speed,28-Feb-14,https://ClinicalTrials.gov/show/NCT02074215
120,Depth of Anaesthesia and Postoperative Cognitive Decline in Patients Undergoing Heart Surgery,Completed,No Results Available,Cardiac Bypass Surgery in Adult Patients 65 Years and Older|Postoperative Cognitive Dysfunction|Postoperative Delirium,Other: Targeted intra-operative depth of anaesthesia,"Incidence of postoperative cognitive decline after bypass surgery|Incidence of postoperative cognitive decline 5 days and 1 year after bypass surgery|Difference in degree of postoperative cognitive decline at 5 days, 6 weeks or 1 year after bypass surgery|Postoperative Delirium|Postoperative central nervous system and myocardial biochemical markers",14-May-15,https://ClinicalTrials.gov/show/NCT01743456
121,Adjunctive Donepezil Therapy and Genetic Risk Factors of Cognitive Dysfunction in Brain Tumor Survivors,Completed,No Results Available,Brain Tumor|Brain Cancer|Cns Cancer|Cognitive Dysfunction,Other: donepezil and questionaires,"The primary goal of this study is to assess the efficacy of donepezil in improving executive abilities and psychomotor speed in adult brain tumor patients who have undergone cranial irradiation and/or chemotherapy.|This study will also assess the efficacy of donepezil in improving other cognitive domains such as attention, memory, and general cognition in this population.|The study will also explore the possibility that the possession of the apolipoprotein E (APOE) „Ó-4 allele is associated with the development of cognitive difficulties following cranial radiation and/or chemotherapy treatments.",14-Jan-16,https://ClinicalTrials.gov/show/NCT00594633
122,Health Care Courses of Elderly Hospitalized Patients for Inappropriate Reasons: Qualitative and Economic Analyzes,Completed,No Results Available,Cognitive Impairment,Other: Qualitative research,90 semi-structured interviews|Demographic and socio-economic questionnaires of 15 patients|Caregiver Reaction Assessment (CRA) scale,01-Feb-17,https://ClinicalTrials.gov/show/NCT02749669
123,Usability of Virtual Reality in Subjects With Mild Cognitive Impairment or Alzheimer's Disease,Completed,No Results Available,MCI|Alzheimer's Disease,Other: Condition virtual reality (VR) then Condition classic cognitive stimulation (CCS)|Other: Condition classic cognitive stimulation (CCS) then Condition virtual reality (VR),"Evaluate the acceptability of the RV|Evaluate the motivation of subjects (interest, cognition) is greater in the virtual environment during the VR experience compared to a conventional cognitive stimulation activity (CSC).",01-Sep-15,https://ClinicalTrials.gov/show/NCT02176629
124,TC-5619 as Augmentation Therapy to Improve Cognition in Outpatients With Cognitive Dysfunction in Schizophrenia,Completed,No Results Available,Cognitive Dysfunction|Schizophrenia,Drug: TC-5619|Drug: Placebo,"To assess the efficacy of TC-5619 as augmentation therapy to quetiapine or risperidone, to improve cognition in stable outpatients with Cognitive Dysfunction in Schizophrenia (CDS), using the GML test of the CogState Schizophrenia Test Battery (CSTB).|Assess the efficacy, safety and tolerability of TC-5619 administered adjunctively with quetiapine or risperidone, evaluate the pharmacokinetics of TC-5619 and plasma levels of quetiapine and risperidone/9-OH-risperidone.",13-Sep-13,https://ClinicalTrials.gov/show/NCT01003379
125,Move for Your Mind - Pilot Trial,Completed,No Results Available,Mild Cognitive Impairment|Mild Dementia|Fall Prevention,Drug: Vi-De 3|Other: Jaques-Dalcroze eurhythmics|Other: Home exercise program,"Rate of falls (any falls, low trauma falls, injurious falls) during 12 month follow-up|Number of participants who fell at least once during 12 months of follow up|Gait variability (stride time, stride length and gait speed)|Cognitive function|Alertness|Quality of life",17-Nov-16,https://ClinicalTrials.gov/show/NCT02279316
126,Exercise and Activities for Independent Living With Mild Cognitive Impairment (MCI),Completed,No Results Available,Mild Cognitive Impairment|Dementia,Behavioral: Resources and Activities for Life Long Independence (RALLI)|Behavioral: Social Walking program (SW),"Changes in cognitive status|Changes in health, affective, and functional status",19-Oct-12,https://ClinicalTrials.gov/show/NCT00446394
127,Safety and Efficacy Study for Cognitive Deficits in Adult Subjects With Schizophrenia,Completed,No Results Available,Cognitive Deficits in Schizophrenia,Drug: ABT-126|Drug: Placebo,"Cognition: MCCB|Functioning: UPSA-2|Cognition: CANTAB|Symptom Severity: PANSS, NSA-16, CGI-S",07-Jan-13,https://ClinicalTrials.gov/show/NCT01095562
128,Efficacy and Safety Study for Cognitive Deficits in Adult Subjects With Schizophrenia,Completed,No Results Available,Cognitive Deficits in Schizophrenia,Drug: ABT-288 Low Dose|Drug: Placebo|Drug: ABT-288 High Dose,"Cognition: MCCB|Functioning: UPSA-2|Cognition: CANTAB|Symptom Severity: PANSS, NSA-16, CGI-S",05-Apr-13,https://ClinicalTrials.gov/show/NCT01077700
129,Phenytoin for Memory Impairment Secondary to Megestrol,Completed,No Results Available,Cognitive Impairment,Drug: Phenytoin|Drug: Megestrol Acetate|Drug: Placebo,Rey Auditory Verbal Learning Test (RAVLT)|Digit Span Backwards|The Sternberg Memory Task (SMT)|The Running Memory Continuous Performance Task (RMCPT),29-Dec-16,https://ClinicalTrials.gov/show/NCT02595723
130,The Evaluation of the Efficacy and Safety of Donepezil Hydrochloride in Subjects With Mild Cognitive Impairment (MCI),Completed,No Results Available,Memory Loss,Drug: Donepezil Hydrochloride|Drug: Placebo,"Assessment of cognitive and global function in subjects with MCI.|Behavioral, global and cognitive outcomes; Neuroimaging",01-Apr-11,https://ClinicalTrials.gov/show/NCT00293176
131,Comprehensive Cognitive Remediation as a Strategy to Prevent Cognitive Impairment Associated With Age and Disability With the REHACOP Program,Completed,No Results Available,Aging,Behavioral: Cognitive Remediation Program (REHACOP)|Other: Occupational Therapy,Change from baseline performance on Brief Test of Attention (BTA) (Neuropsychological test)|Change from baseline performance on Forward Digits (Neuropsychological subtest)|Change from baseline performance on Calibrate Ideational Fluency Assessment (CIFA) (Neuropsychological test)|Change from baseline performance on Hopkins Verbal Learning Test (HVLT) (Neuropsychological test)|Change from baseline performance on Brief Visual Memory Test (BVMT) (Neuropsychological test)|Change from baseline performance on Taylor Complex Figure Test (TCF) (Neuropsychological test)|Change from baseline performance on Clock Drawing Test (CDT) (Neuropsychological test)|Change from baseline performance on Visual Object and Space Perception Battery (VOSP) (Neuropsychological test)|Change from baseline performance on Trail Making Test (TMT-A/B) (Neuropsychological test)|Change from baseline performance on Backward Digits (Neuropsychological subtest)|Change from baseline performance on Salthouse Perceptual Comparison Test (Neuropsychological test)|Change from baseline performance on Stroop Test (Neuropsychological test)|Change from baseline performance on Modified Wisconsin Card Sorting Test (M-WCST) (Neuropsychological test)|Change from baseline score on Geriatric Depression Scale (GDS)|Change from baseline score on Neuropsychiatric Inventory Questionnaire (NPI-Q)|Change from baseline score on Lille Apathy Rating Scale (LARS)|Change from baseline score on Multidimensional Fatigue Inventory (MFI)|Change from baseline score on Satisfaction With Life Scale (SWLS)|Change from baseline score on Subjective Questionnaire on Cognitive and Functional Difficulties of the patient and caregivers,03-May-18,https://ClinicalTrials.gov/show/NCT03435029
132,Study on the Effectiveness of EGb 761å¨ Vs Placebo Used for Cognitive Impairment in Patients With Multiple Sclerosis,Completed,No Results Available,"Multiple Sclerosis, Relapsing-Remitting",Drug: EGb 761å¨ (Tanakanå¨),"Evolution of Paced Auditory Serial Addition Test 3 and 2 seconds between baseline and week 24|Evolution of the following tests between baseline and week 24:|Multiple Sclerosis Functional Composite Test|Selective Reminding Test|10/36 Visual-Spatial Recall Test|Symbol Digit Modalities Test|Trail Making Test A and B|Verbal Fluency Test|Empan Test|Evolution of the following scales between baseline and week 24:|Cognitive Deficit Interview based screen|Anxiety Brief Scale|Beck Depression Inventory Scale|Modified Fatigue Impact Scale|Evolution of Quality of Life|Evolution of the following between baseline, week 12, and week 24: Kurtzke Extended Disability Status Scale, and Clinician Interview Based Impression of Change",16-May-06,https://ClinicalTrials.gov/show/NCT00276341
133,Video-Enhanced Care Management for Medically Complex Veterans,Completed,No Results Available,Multimorbidity|Cognitive Impairments,Behavioral: Care management via videoconference|Behavioral: Care management via telephone calls,Acceptability of care management program for medically complex Veterans with CI|Perceived value of video-enhanced care management for medically complex Veterans with CI|Feasibility of care management program for medically complex Veterans with CI|Usability of video-enhanced care management for medically complex Veterans with CI,21-Mar-18,https://ClinicalTrials.gov/show/NCT02962687
134,Does Cognitive Impairment Affect Rehabilitation Outcome in Parkinson's Disease?,Completed,No Results Available,Parkinson's Disease,Behavioral: MIRT,Unified Parkinson's Disease Rating Scale|Berg Balance Scale,25-Mar-16,https://ClinicalTrials.gov/show/NCT02719470
135,An Extension Study Evaluating the Efficacy and Safety of Rivastigmine in Patients With Traumatic Brain Injury (TBI) With Persistent Cognitive Deficits,Completed,No Results Available,Traumatic Brain Injury With Persistent Cognitive Deficits,Drug: Rivastigmine,Improvement in cognitive functioning in the areas of attention or verbal memory from baseline to week 26|Safety and tolerability of 26 week's of treatment with rivastigmine in patients with traumatic brain injury with persistent cognitive impairment|Changes in cognitive functioning from baseline to week 26|Changes in behavior from baseline to week 26|Changes in depression from baseline to week 26|Changes in quality of life from baseline to week 26|Changes in overall functioning from baseline to week 26,17-Nov-11,https://ClinicalTrials.gov/show/NCT00219245
136,Vitamin B12 Supplement to Prevent Cognitive Decline,Completed,No Results Available,Cognitive Decline,Dietary Supplement: Vitamin B12|Dietary Supplement: Placebo,Change in Clinical Dementia Rating Scale (CDR)|Change in Neurocognitive test battery (NTB) score|Change in serum homocysteine (åµmol/L),28-Jan-16,https://ClinicalTrials.gov/show/NCT02457507
137,Computer-based Cognitive Training for Individuals With Parkinson's Disease,Completed,No Results Available,Parkinson's Disease|Mild Cognitive Impairment,Behavioral: Brain Fitness|Behavioral: InSight|Behavioral: Active Control,Percent Accuracy on Cognitive Training Quizzes|Parkinson's Disease Quality of Life Questionnaire-39 (PDQ-39)|California Verbal Learning Test-II Long Delay Free Recall Scaled Score Change Over 3 Months,08-Jan-16,https://ClinicalTrials.gov/show/NCT02225314
138,Comparison of PET Amyloid Imaging in Japanese and Western Subjects,Completed,Has Results,Mild Cognitive Impairment|Alzheimer's Disease|Healthy,Drug: [18F] Flutemetamol,Blinded Visual Assessment of Positron Emission Tomography (PET) Imaging and Clinical Diagnosis by Non-Japanese Readers|Blinded Visual Assessment of Positron Emission Tomography (PET) Imaging and Clinical Diagnosis by Japanese Readers,05-Jun-17,https://ClinicalTrials.gov/show/NCT02813070
139,A Double Blind Placebo Controlled Trial Evaluating Rasagiline Effects on Cognition in Parkinson's Disease Patients With Mild Cognitive Impairment Receiving Dopaminergic Therapy,Completed,No Results Available,Parkinson's Disease,Drug: Rasagiline/Placebo|Drug: Rasagiline,Montreal Cognitive Assessment,16-Dec-15,https://ClinicalTrials.gov/show/NCT01497652
140,Placebo-Controlled Crossover Study to Evaluate Donepezil and MK-3134 for Reversal of Cognitive Impairment Associated With Scopolamine Administration (3134-005)(COMPLETED),Completed,No Results Available,Dementia,Drug: A: Placebo to match Donepezil and MK-3134 + Placebo to match Scopolamine|Drug: B: Placebo to match Donepezil and MK-3134 + Scopolamine 0.5 mg|Drug: C: MK-3134 25 mg + Scopolamine 0.5 mg|Drug: D: Donepezil 10 mg + Scopolamine 0.5 mg|Drug: E: Combo: Donepezil 10 mg + MK-3134 25 mg + Scopolamine 0.5 mg,"CogState Early Phase Battery, Groton Maze Learning Test (GMLT) as measured by the number of errors on the GMLT over time (area under the GMLT-time curve) over hours 1-12.",06-Nov-15,https://ClinicalTrials.gov/show/NCT01181310
141,Brain Gymå¨ Exercises for Institutionalized Elderly People With Cognitive Impairment,Completed,No Results Available,Cognition Disorders in Old Age|Physical Activity,Behavioral: Brain Gym Exercises|Behavioral: Standard exercise program for institutionalized older adults.,Assessment of the changes in participants' cognitive function.|Assessment of the changes in participants' functional independence.|Assessment of the changes in participants' health-related self-perceived quality of life.|Assessment of the changes in participants' fitness level.,11-Dec-17,https://ClinicalTrials.gov/show/NCT03368482
142,A Study to Evaluate the Efficacy and Safety of Galantamine in Patients With Mild Cognitive Impairment,Completed,No Results Available,Dementia|Alzheimer Disease,Drug: Galantamine hydrobromide,"Memory and cognition (ADAS-COG/MCI and CDR-SB scores), global functional skills and overall severity of dementia (the CDR-SB and the overall Clinical Dementia Rating) measured at 12 and 24 months.|Digit Symbol Coding and Alzheimer's Disease Cooperative Study-ADL scale (MCI version) at 12 and 24 months. Safety assessment (reports of adverse events, laboratory values, results of physical examinations, and electrocardiograms) throughout the study.",08-Jun-11,https://ClinicalTrials.gov/show/NCT00236431
143,A Study to Measure CSF Proteins in Elderly Healthy Volunteers and Volunteers With Mild Cognitive Impairment or Alzheimer's Disease,Completed,No Results Available,Healthy|Alzheimer Disease,Procedure: Standard CSR sampling procedure|Procedure: Alternate frequency CSR sampling procedure|Procedure: Standard frequent CSR sampling procedure with 800 mg ibuprofen|Procedure: Alternative lower frequency CSR sampling procedure,Measurement of CSF proteins|The number of volunteers with adverse events,18-Mar-14,https://ClinicalTrials.gov/show/NCT01436188
144,Computer-Based Training in Patients With Post-Chemotherapy Cognitive Impairment,Completed,No Results Available,Breast Cancer|Cognitive Symptoms|Memory Disorders,Device: Computer-based Cognitive Training,Examination of the quantitative training program progression data|Safety|Quality of life health assessments|Functional outcomes assessments|Perceived stress assessments,24-Jun-08,https://ClinicalTrials.gov/show/NCT00387062
145,"The Effects of Diet on Mood, Cognition and Appetite",Completed,No Results Available,Mild Cognitive Impairment,Other: High Fat Low Carbohydrate Diet|Other: Low fat High Carbohydrate Diet,Clear-headedness|Reaction time,27-Mar-18,https://ClinicalTrials.gov/show/NCT01201616
146,Efficacy of Fish Oil Supplementation on Cognition in MCI Patients and the Influence of the APOE4 Allele,Completed,No Results Available,Mild Cognitive Impairment,"Dietary Supplement: fish oil|Dietary Supplement: placebo, sunflower oil","cognitive performance|blood flow-velocity in the middle cerebral arteries (assessed with TCD) and cortical tissue oxygenation, cerebral autoregulation, cerebral blood volume (assessed with NIRS",12-Jan-11,https://ClinicalTrials.gov/show/NCT00746005
147,Conversations as a Means to Delay the Onset of Alzheimer's Disease,Completed,No Results Available,Cognitive Impairment,Behavioral: Active social engagement group|Behavioral: Control group,Cognitive functions measured by neuropsychological tests|Psychological well-being|Levels of social engagement,10-Aug-16,https://ClinicalTrials.gov/show/NCT01571427
148,BI 409306 in Patients With Cognitive Impairment Due to Alzheimer's Disease.,Completed,No Results Available,Alzheimer Disease,Drug: Placebo|Drug: BI 409306|Drug: Donepezil,Cognition as measured by change from baseline in Neuropsychological Test Battery (NTB) in total z-score|Change from baseline in Alzheimer's Disease Cooperative Study/Activities of Daily Living (ADCS-ADL) total score|Change from baseline in Alzheimer's Disease Assessment Scale-cognitive subscale 11 item (ADAS-cog11)|Change from baseline in Clinical Dementia Rating Sum of Boxes (CDR-SB) total score,08-Dec-17,https://ClinicalTrials.gov/show/NCT02337907
